student_id,tam,eng,math,science,social,total,grade
1,69,51,47,79,49,295,F
2,79,52,65,43,70,309,D
3,43,64,100,36,84,327,D
4,85,54,91,57,43,330,D
5,98,78,59,51,64,350,C
6,94,100,79,45,53,371,C
7,53,91,36,80,50,310,D
8,42,72,57,49,99,319,D
9,54,54,47,35,43,233,F
10,99,61,69,73,96,398,C
11,98,80,75,37,59,349,D
12,95,47,37,86,96,361,C
13,69,43,77,79,73,341,D
14,47,51,39,91,94,322,D
15,96,67,50,37,35,285,F
16,60,51,83,49,48,291,F
17,77,67,37,98,50,329,D
18,71,54,59,65,68,317,D
19,52,52,56,95,83,338,D
20,72,75,76,60,66,349,D
21,88,81,65,73,71,378,C
22,96,46,42,37,52,273,F
23,46,98,88,73,79,384,C
24,78,68,87,37,71,341,D
25,68,47,37,74,84,310,D
26,90,60,39,72,88,349,D
27,46,69,84,84,91,374,C
28,74,35,97,58,73,337,D
29,40,54,97,61,92,344,D
30,77,51,79,66,53,326,D
31,69,39,57,81,45,291,F
32,59,78,73,74,81,365,C
33,97,71,73,99,83,423,B
34,50,70,47,93,71,331,D
35,80,92,79,73,47,371,C
36,41,50,94,87,42,314,D
37,38,73,84,60,56,311,D
38,50,35,90,100,85,360,C
39,37,67,90,73,54,321,D
40,37,68,35,49,45,234,F
41,47,63,52,74,46,282,F
42,37,96,87,97,60,377,C
43,87,53,84,55,36,315,D
44,78,41,91,49,81,340,D
45,62,78,94,73,96,403,B
46,77,39,83,64,47,310,D
47,77,99,40,96,86,398,C
48,64,69,77,89,70,369,C
49,38,77,60,66,51,292,F
50,39,97,48,58,85,327,D
51,99,92,91,46,89,417,B
52,71,76,44,62,84,337,D
53,72,43,51,55,59,280,F
54,95,76,44,56,66,337,D
55,35,55,42,40,90,262,F
56,35,38,54,50,96,273,F
57,40,56,63,69,96,324,D
58,51,36,50,83,68,288,F
59,38,51,47,40,91,267,F
60,97,94,62,73,52,378,C
61,59,94,67,77,45,342,D
62,73,37,62,49,98,319,D
63,54,62,58,85,51,310,D
64,91,63,57,93,92,396,C
65,41,73,69,75,65,323,D
66,80,37,100,48,36,301,D
67,79,87,89,84,71,410,B
68,98,82,82,74,74,410,B
69,86,93,64,44,57,344,D
70,89,79,43,51,52,314,D
71,95,56,41,46,83,321,D
72,54,62,52,100,91,359,C
73,89,38,99,99,91,416,B
74,73,56,37,90,59,315,D
75,49,49,83,100,52,333,D
76,47,53,64,41,84,289,F
77,37,71,41,61,61,271,F
78,69,61,86,75,40,331,D
79,35,63,64,46,61,269,F
80,36,85,40,36,41,238,F
81,54,70,50,39,83,296,F
82,67,85,99,74,51,376,C
83,61,83,54,36,52,286,F
84,67,65,81,38,86,337,D
85,92,50,71,40,75,328,D
86,58,61,74,93,62,348,D
87,78,35,89,75,61,338,D
88,68,90,81,87,75,401,B
89,46,84,40,82,90,342,D
90,99,50,96,94,98,437,B
91,98,35,44,42,49,268,F
92,65,88,73,57,64,347,D
93,56,72,58,90,56,332,D
94,95,57,52,57,45,306,D
95,54,73,93,38,79,337,D
96,61,78,42,97,63,341,D
97,40,74,50,56,55,275,F
98,42,47,35,70,96,290,F
99,69,51,35,57,80,292,F
100,81,74,89,83,84,411,B
101,53,48,48,98,38,285,F
102,61,94,93,88,88,424,B
103,59,44,89,92,71,355,C
104,79,75,98,52,76,380,C
105,69,43,87,81,93,373,C
106,71,56,71,59,71,328,D
107,94,95,66,52,75,382,C
108,95,76,86,69,36,362,C
109,84,95,46,58,64,347,D
110,92,44,93,36,90,355,C
111,75,83,40,70,94,362,C
112,68,94,69,54,59,344,D
113,52,55,37,64,50,258,F
114,62,75,58,86,53,334,D
115,59,75,77,87,59,357,C
116,86,66,72,71,62,357,C
117,69,79,96,89,53,386,C
118,89,69,41,42,97,338,D
119,70,78,53,38,74,313,D
120,63,75,97,55,42,332,D
121,92,41,38,83,45,299,F
122,80,44,50,95,40,309,D
123,96,56,83,66,47,348,D
124,81,68,45,92,69,355,C
125,75,93,50,97,36,351,C
126,78,92,52,58,68,348,D
127,50,61,82,60,36,289,F
128,39,88,51,73,57,308,D
129,36,68,70,58,59,291,F
130,47,84,54,44,87,316,D
131,51,47,49,93,40,280,F
132,40,90,50,44,71,295,F
133,99,52,66,47,79,343,D
134,46,71,72,88,67,344,D
135,71,76,83,56,61,347,D
136,49,43,42,64,63,261,F
137,87,49,95,60,37,328,D
138,90,99,95,45,93,422,B
139,97,35,74,58,43,307,D
140,74,92,40,66,87,359,C
141,35,61,72,45,48,261,F
142,36,43,42,61,89,271,F
143,36,47,79,86,64,312,D
144,55,63,66,51,60,295,F
145,55,82,73,47,42,299,F
146,81,53,86,47,92,359,C
147,58,68,96,85,66,373,C
148,66,44,86,85,80,361,C
149,94,46,38,91,42,311,D
150,81,50,68,76,84,359,C
151,50,51,94,86,51,332,D
152,57,96,91,41,40,325,D
153,96,41,84,88,91,400,B
154,69,44,39,36,79,267,F
155,57,79,51,51,67,305,D
156,36,91,56,58,89,330,D
157,66,36,82,38,96,318,D
158,80,69,85,89,55,378,C
159,58,66,97,41,58,320,D
160,72,64,75,91,73,375,C
161,74,43,47,90,55,309,D
162,90,82,68,45,44,329,D
163,48,53,63,55,57,276,F
164,37,60,39,48,61,245,F
165,95,40,36,88,46,305,D
166,35,48,53,85,57,278,F
167,97,58,75,43,81,354,C
168,45,95,72,90,41,343,D
169,84,89,75,78,38,364,C
170,44,35,88,81,37,285,F
171,92,89,39,79,43,342,D
172,46,100,86,55,72,359,C
173,76,39,48,92,49,304,D
174,75,48,87,53,36,299,F
175,95,40,47,55,60,297,F
176,95,51,74,49,44,313,D
177,95,59,35,48,86,323,D
178,82,92,63,49,52,338,D
179,89,63,81,65,93,391,C
180,73,77,38,97,53,338,D
181,65,50,66,68,84,333,D
182,36,39,41,43,74,233,F
183,61,79,42,45,63,290,F
184,48,43,79,59,72,301,D
185,74,53,77,53,64,321,D
186,40,37,43,94,95,309,D
187,98,46,88,38,89,359,C
188,89,40,77,71,43,320,D
189,66,92,58,77,49,342,D
190,45,93,98,100,67,403,B
191,94,87,67,80,93,421,B
192,56,64,77,36,90,323,D
193,62,90,97,52,64,365,C
194,98,53,99,92,50,392,C
195,75,71,64,88,88,386,C
196,51,92,36,38,36,253,F
197,57,37,90,93,92,369,C
198,69,48,95,61,68,341,D
199,84,52,58,80,83,357,C
200,97,99,64,65,41,366,C
201,74,50,92,54,98,368,C
202,84,96,98,90,57,425,B
203,44,83,71,88,48,334,D
204,52,98,38,96,36,320,D
205,40,65,98,95,67,365,C
206,98,65,97,63,43,366,C
207,51,41,87,59,44,282,F
208,67,61,56,58,96,338,D
209,44,83,36,38,84,285,F
210,54,48,42,51,91,286,F
211,44,81,49,82,85,341,D
212,43,40,36,90,65,274,F
213,75,87,40,79,49,330,D
214,61,82,89,82,81,395,C
215,80,81,82,94,40,377,C
216,86,63,55,70,75,349,D
217,74,95,65,79,42,355,C
218,82,54,48,68,67,319,D
219,64,97,96,66,38,361,C
220,95,61,62,38,40,296,F
221,74,94,76,54,89,387,C
222,53,60,90,93,43,339,D
223,57,96,99,66,72,390,C
224,67,95,56,84,61,363,C
225,88,50,53,84,47,322,D
226,69,52,41,70,58,290,F
227,61,91,66,98,35,351,C
228,76,57,52,96,53,334,D
229,37,58,84,62,41,282,F
230,86,75,37,65,59,322,D
231,99,41,67,49,61,317,D
232,48,57,75,100,72,352,C
233,39,85,69,99,45,337,D
234,91,90,83,69,65,398,C
235,55,80,68,98,93,394,C
236,98,70,86,59,61,374,C
237,50,86,68,63,88,355,C
238,77,75,61,54,100,367,C
239,96,37,49,75,49,306,D
240,41,85,46,48,59,279,F
241,91,59,37,48,91,326,D
242,92,40,95,87,68,382,C
243,35,59,86,62,54,296,F
244,49,89,81,44,45,308,D
245,87,35,57,57,43,279,F
246,52,39,72,49,93,305,D
247,45,98,60,39,49,291,F
248,43,100,73,75,75,366,C
249,39,62,41,45,36,223,F
250,50,82,83,49,53,317,D
251,70,67,79,71,64,351,C
252,63,54,74,46,95,332,D
253,50,80,51,89,35,305,D
254,43,69,80,69,55,316,D
255,90,73,60,79,70,372,C
256,68,45,51,60,67,291,F
257,61,65,99,100,59,384,C
258,77,64,94,89,54,378,C
259,84,59,70,55,74,342,D
